slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
legal-innovation-zone,Legal Innovation Zone,accel,https://www.torontomu.ca/zone-learning/legal-innovation-zone/apply/,none_found,,,,no_match,skip
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Describe your company in 200 words or less.,b765afba-6d84-4b03-8c1d-92f89d7b1e09,Briefly describe what your company does in 2-3 sentences.,0.43,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"Has your company developed a Minimum Viable Product (MVP) or prototype, or does it currently have the funding to develop one?",2a3d5bfe-157d-4128-9f5c-5c68b056a526,What is your company going to make? Please describe your product and what it does or will do.,0.39,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,What is your value proposition?,8d844179-a1eb-4550-a16a-eca69b200925,How does your product or service solve the problem? What makes it unique?,0.4,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please describe any barriers to entry and/or differentiation from other players/products.,0d790ab0-2699-4a4a-90d2-3b78ef26ab67,Who are your main competitors and how is your solution differentiated?,0.38,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"Who are your main competitors, and who might become a competitor? What are their top strengths and weaknesses, and how are you differentiating?",cd53c9f1-550f-4409-a838-e9a0d8b6c756,"Who are your competitors, and who might become competitors? Who do you fear most?",0.46,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,"In your view, what are the major milestones you have achieved in the past 6-12 months?",6ca56de1-69ba-4426-a253-eb982529d63c,What evidence do you have that your approach works? What impact have you achieved so far?,0.4,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,What goals are you looking forward to in the next 6-12 months?,dae3ed8f-d3fd-4ebd-9c18-e1d082848f4e,What does success look like in 5-10 years? What is your long-term vision?,0.22,medium,review
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,What are the top 3 challenges your company currently faces?,68248a93-a3fd-4523-9b8c-61dbc285034f,What are the primary technical risks and how will you mitigate or address them?,0.35,medium,review
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,How are you hoping MaRS can help your business?,60ecb1c6-0beb-4c30-a2a2-eeef7805e570,How will this program help you achieve your next major milestone?,0.22,medium,review
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please provide a description of your product/solution and briefly indicate how you believe it can be scaled.,2e3bd576-4fdf-4616-9cf5-92b529f45e31,Provide a brief description of your company and what you do.,0.43,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,Please describe your current target market. Can your product/technology be applied to other market segments?,d180a500-f4f0-41b3-aafb-faa325cebcb2,"Describe your commercialization plan, including target market, customers, and path to market.",0.46,high,promote
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,What is your current or planned go-to-market strategy and why is now the right time?,cb804c37-2f51-4fd9-a4b6-e9be1ff9801a,Why is now the right time to build this? What has changed to make this possible or necessary?,0.35,medium,review
mars-discovery-district,MaRS Discovery District,accel,https://marsdd.com/apply,How have you validated the pain point that your product is trying to address?,2ad623cf-8e55-4441-a049-b5a6d26b4d23,Who is your customer and what specific pain point are you solving for them?,0.43,high,promote
mhub,mHUB,accel,https://www.mhubchicago.com/accelerator-program-interest,none_found,,,,no_match,skip
nar-reach,NAR REACH US,accel,https://www.nar-reach.com/apply,none_found,,,,no_match,skip
new-inc,NEW INC,accel,https://www.newinc.org/apply,none_found,,,,no_match,skip
new-ventures-bc,New Ventures BC,accel,https://nvbc.typeform.com/to/vboBF4Gr,none_found,,,,no_match,skip
reach,REACH,accel,https://nar-reach.com/apply,none_found,,,,no_match,skip
reach-canada,Reach Canada,accel,https://nar-reach.com/apply,none_found,,,,no_match,skip
reach-uk,Reach UK,accel,https://nar-reach.com/apply,none_found,,,,no_match,skip
sequoia-capital,Sequoia Capital,accel,https://www.sequoiacap.com/arc/apply,none_found,,,,no_match,skip
sku,SKU,accel,https://sku.is/apply/,none_found,,,,no_match,skip
social-venture-zone,Social Venture Zone,accel,https://www.torontomu.ca/svz/apply/,none_found,,,,no_match,skip
sputnik-atx-vc,Sputnik ATX VC,accel,https://gust.com/programs/sputnik-atx-vc-summer-2026,none_found,,,,no_match,skip
started,StartEd,accel,https://www.started.com/apply,none_found,,,,no_match,skip
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is the problem your company/business is solving?,07a6b847-cfe4-45f4-97dd-72d508757b64,What problem are you solving? Why is this problem worth solving?,0.7,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is your solution to the identified problem?,2b8a77a1-eb1d-4183-b60f-ca935058af4d,What is your solution? How does it work?,0.5,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What is your business model?,20751851-744f-463a-b1c0-095c6463a295,What is your business model? How do you generate or plan to generate revenue?,0.67,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What key pieces of validation have you done to date to demonstrate that you are able to build and launch your business idea? Provide explicit data if applicable.,96807dcc-9833-4836-8edd-b4007eedea9d,"What early evidence do you have that people want this? (Users, pilots, letters of intent, revenue, etc.)",0.35,medium,review
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,Do you have a minimum viable product of your solution? Describe it and include any relevant links or attachments.,2a3d5bfe-157d-4128-9f5c-5c68b056a526,What is your company going to make? Please describe your product and what it does or will do.,0.37,high,promote
startup-garage,Startup Garage,accel,https://startupgarage.ca/apply-now,What do you want to get out of the circuit?,ba19cd83-3f7f-4f62-adef-2b9837c30863,What specific outcomes are you hoping to achieve by participating in this program?,0.33,medium,review
startup-health,Startup Health,accel,https://www.startuphealth.com/apply-now,none_found,,,,no_match,skip
